E, 1 - qF(E), E_0, E_B, E_D, E_B(Theory), Sites, Localized State, Extended State, Dark State
-0.810000000000036,9.694938972338722,nan,nan,nan,nan,nan,nan,nan,nan
-0.8000000000000362,6.858538122250247,nan,nan,nan,nan,nan,nan,nan,nan
-0.7900000000000365,5.408998821028349,nan,nan,nan,nan,nan,nan,nan,nan
-0.7800000000000367,4.527806514329647,nan,nan,nan,nan,nan,nan,nan,nan
-0.7700000000000369,3.934675409683118,nan,nan,nan,nan,nan,nan,nan,nan
-0.7600000000000371,3.507604583297547,nan,nan,nan,nan,nan,nan,nan,nan
-0.7500000000000373,3.184965831436147,nan,nan,nan,nan,nan,nan,nan,nan
-0.7400000000000375,2.932269787814428,nan,nan,nan,nan,nan,nan,nan,nan
-0.7300000000000377,2.728708219899925,nan,nan,nan,nan,nan,nan,nan,nan
-0.7200000000000379,2.560981913202579,nan,nan,nan,nan,nan,nan,nan,nan
-0.7100000000000382,2.420193411586963,nan,nan,nan,nan,nan,nan,nan,nan
-0.7000000000000384,2.300164776605155,nan,nan,nan,nan,nan,nan,nan,nan
-0.6900000000000386,2.196472055754736,nan,nan,nan,nan,nan,nan,nan,nan
-0.6800000000000388,2.105863836075394,nan,nan,nan,nan,nan,nan,nan,nan
-0.670000000000039,2.025896712963443,nan,nan,nan,nan,nan,nan,nan,nan
-0.6600000000000392,1.954698790133416,nan,nan,nan,nan,nan,nan,nan,nan
-0.6500000000000394,1.890811649350694,nan,nan,nan,nan,nan,nan,nan,nan
-0.6400000000000396,1.833082005731264,nan,nan,nan,nan,nan,nan,nan,nan
-0.6300000000000399,1.780585730491277,nan,nan,nan,nan,nan,nan,nan,nan
-0.6200000000000401,1.732573494424547,nan,nan,nan,nan,nan,nan,nan,nan
-0.6100000000000403,1.688431178587356,nan,nan,nan,nan,nan,nan,nan,nan
-0.6000000000000405,1.647650573922176,nan,nan,nan,nan,nan,nan,nan,nan
-0.5900000000000407,1.60980737915383,nan,nan,nan,nan,nan,nan,nan,nan
-0.5800000000000409,1.574544460128417,nan,nan,nan,nan,nan,nan,nan,nan
-0.5700000000000411,1.541558958477808,nan,nan,nan,nan,nan,nan,nan,nan
-0.5600000000000414,1.51059225460495,nan,nan,nan,nan,nan,nan,nan,nan
-0.5500000000000416,1.481422073421206,nan,nan,nan,nan,nan,nan,nan,nan
-0.5400000000000418,1.453856216990115,nan,nan,nan,nan,nan,nan,nan,nan
-0.530000000000042,1.427727545399168,nan,nan,nan,nan,nan,nan,nan,nan
-0.5200000000000422,1.402889924630833,nan,nan,nan,nan,nan,nan,nan,nan
-0.5100000000000424,1.379214930315638,nan,nan,nan,nan,nan,nan,nan,nan
-0.5000000000000426,1.356589147286917,nan,nan,nan,nan,nan,nan,nan,nan
-0.4900000000000428,1.334911942415244,nan,nan,nan,nan,nan,nan,nan,nan
-0.4800000000000431,1.314093616122287,nan,nan,nan,nan,nan,nan,nan,nan
-0.4700000000000433,1.2940538589292,nan,nan,nan,nan,nan,nan,nan,nan
-0.4600000000000435,1.274720455262221,nan,nan,nan,nan,nan,nan,nan,nan
-0.4500000000000437,1.256028188853341,nan,nan,nan,nan,nan,nan,nan,nan
-0.4400000000000439,1.237917913396778,nan,nan,nan,nan,nan,nan,nan,nan
-0.4300000000000441,1.220335759348577,nan,nan,nan,nan,nan,nan,nan,nan
-0.4200000000000443,1.20323245339701,nan,nan,nan,nan,nan,nan,nan,nan
-0.4100000000000446,1.186562731561905,nan,nan,nan,nan,nan,nan,nan,nan
-0.4000000000000448,1.17028483038198,nan,nan,nan,nan,nan,nan,nan,nan
-0.390000000000045,1.154360043430954,nan,nan,nan,nan,nan,nan,nan,nan
-0.3800000000000452,1.138752332624498,nan,nan,nan,nan,nan,nan,nan,nan
-0.3700000000000454,1.123427985561865,nan,nan,nan,nan,nan,nan,nan,nan
-0.3600000000000456,1.108355311580713,nan,nan,nan,nan,nan,nan,nan,nan
-0.3500000000000458,1.093504370362504,nan,nan,nan,nan,nan,nan,nan,nan
-0.340000000000046,1.078846727863819,nan,nan,nan,nan,nan,nan,nan,nan
-0.3300000000000463,1.06435523510888,nan,nan,nan,nan,nan,nan,nan,nan
-0.3200000000000465,1.050003825993765,nan,nan,nan,nan,nan,nan,nan,nan
-0.3100000000000467,1.035767330749201,nan,nan,nan,nan,nan,nan,nan,nan
-0.3000000000000469,1.021621302106809,nan,nan,nan,nan,nan,nan,nan,nan
-0.2900000000000471,1.007541851528916,nan,nan,nan,nan,nan,nan,nan,nan
-0.2800000000000473,0.9935054931067282,nan,nan,nan,nan,nan,nan,nan,nan
-0.2700000000000475,0.979488992915031,nan,nan,nan,nan,nan,nan,nan,nan
-0.2600000000000477,0.9654692217402728,nan,nan,nan,nan,nan,nan,nan,nan
-0.250000000000048,0.9514230091777816,nan,nan,nan,nan,nan,nan,nan,nan
-0.2400000000000482,0.9373269971255663,nan,nan,nan,nan,nan,nan,nan,nan
-0.2300000000000484,0.9231574906879838,nan,nan,nan,nan,nan,nan,nan,nan
