q,W_dark,W_extended,W_localized,M_dark,M_extended,M_localized,l,N,q_theory,q_MSD,relative_error_percent
0.44,0.4999999999999954,0.4102576021320913,0.08974239786791348,3333.540000000001,3322.322235684064,14.33057851239663,nan,nan,nan,nan,nan
0.45,0.500000000000001,0.4100878048780476,0.08991219512195106,3333.54,3322.193485590231,13.87654320987651,nan,nan,nan,nan,nan
0.46,0.5000000000000038,0.4099622262714361,0.09003777372856067,3333.540000000001,3322.07797346973,13.45179584121003,nan,nan,nan,nan,nan
0.47,0.4999999999999977,0.4098790889087376,0.09012091109126462,3333.54,3321.975066270749,13.05387052965144,nan,nan,nan,nan,nan
0.48,0.4999999999999988,0.4098366674496123,0.09016333255038961,3333.539999999997,3321.884160336386,12.68055555555566,nan,nan,nan,nan,nan
0.49,0.5000000000000008,0.4098332874418922,0.09016671255810743,3333.540000000002,3321.80467930453,12.32986255726786,nan,nan,nan,nan,nan
0.5,0.4999999999999944,0.4098673241631203,0.09013267583688482,3333.54,3321.736072271744,12.00000000000001,nan,nan,nan,nan,nan
0.51,0.5000000000000022,0.4099372014787216,0.09006279852127561,3333.54,3321.677812180066,11.68935024990389,nan,nan,nan,nan,nan
0.52,0.5000000000000011,0.4100413907170319,0.08995860928296708,3333.54,3321.62939439197,11.3964497041421,nan,nan,nan,nan,nan
0.53,0.4999999999999979,0.4101784095609728,0.08982159043902939,3333.54,3321.590335425084,11.11997152011394,nan,nan,nan,nan,nan
0.54,0.5000000000000012,0.4103468209566798,0.08965317904331924,3333.539999999999,3321.560171821974,10.85871056241422,nan,nan,nan,nan,nan
0.55,0.4999999999999935,0.4105452320390107,0.08945476796099516,3333.539999999999,3321.538459135032,10.61157024793384,nan,nan,nan,nan,nan
0.5600000000000001,0.5000000000000009,0.4107722930738707,0.0892277069261285,3333.540000000001,3321.524771009273,10.37755102040823,nan,nan,nan,nan,nan
0.5700000000000001,0.5000000000000002,0.4110266964176151,0.08897330358238485,3333.54,3321.518698348616,10.15574022776239,nan,nan,nan,nan,nan
0.5800000000000001,0.500000000000001,0.4113071754932248,0.08869282450677388,3333.54,3321.519848553658,9.945303210463736,nan,nan,nan,nan,nan
0.59,0.5000000000000033,0.4116125037835102,0.08838749621648649,3333.539999999999,3321.527844820691,9.745475438092518,nan,nan,nan,nan,nan
0.6,0.4999999999999963,0.4119414938411906,0.08805850615881335,3333.540000000001,3321.542325493373,9.555555555555554,nan,nan,nan,nan,nan
0.61,0.5000000000000004,0.4122929963158039,0.08770700368419639,3333.54,3321.562943459828,9.374899220639636,nan,nan,nan,nan,nan
0.62,0.4999999999999981,0.4126658989975724,0.08733410100242946,3333.540000000001,3321.589365589083,9.202913631633674,nan,nan,nan,nan,nan
0.63,0.4999999999999972,0.4130591258779359,0.08694087412206684,3333.540000000001,3321.621272201709,9.03905265810026,nan,nan,nan,nan,nan
0.64,0.4999999999999939,0.4134716362269164,0.08652836377308951,3333.540000000001,3321.658356570307,8.882812499999963,nan,nan,nan,nan,nan
0.65,0.5000000000000033,0.4139024236870982,0.08609757631289788,3333.54,3321.7003244462,8.733727810650889,nan,nan,nan,nan,nan
0.66,0.4999999999999968,0.4143505153843068,0.08564948461569639,3333.54,3321.746893609339,8.591368227731872,nan,nan,nan,nan,nan
0.67,0.5000000000000027,0.4148149710546348,0.08518502894536209,3333.539999999999,3321.797793438741,8.455335263978593,nan,nan,nan,nan,nan
0.68,0.5000000000000058,0.4152948821881181,0.08470511781187619,3333.539999999999,3321.852764501327,8.325259515570957,nan,nan,nan,nan,nan
0.6900000000000001,0.5000000000000003,0.4157893711885773,0.0842106288114223,3333.54,3321.911558157397,8.200798151648828,nan,nan,nan,nan,nan
0.7000000000000001,0.500000000000001,0.4162975905497394,0.08370240945025903,3333.54,3321.973936181106,8.081632653061215,nan,nan,nan,nan,nan
0.7100000000000001,0.4999999999999957,0.4168187220475353,0.08318127795246832,3333.54,3322.039670394781,7.967466772465752,nan,nan,nan,nan,nan
0.72,0.4999999999999996,0.4173519759482893,0.08264802405171136,3333.540000000001,3322.108542315867,7.858024691358018,nan,nan,nan,nan,nan
0.73,0.5000000000000004,0.4178965902328924,0.08210340976710687,3333.540000000001,3322.180342815711,7.75304935259899,nan,nan,nan,nan,nan
0.74,0.4999999999999966,0.4184518298366287,0.08154817016337436,3333.540000000003,3322.25487178937,7.652300949598266,nan,nan,nan,nan,nan
0.75,0.4999999999999968,0.4190169859046322,0.08098301409537083,3333.54,3322.331937835774,7.55555555555557,nan,nan,nan,nan,nan
0.76,0.4999999999999965,0.4195913750628323,0.08040862493717134,3333.54,3322.41135794774,7.462603878116346,nan,nan,nan,nan,nan
0.77,0.4999999999999984,0.4201743387041622,0.07982566129583929,3333.54,3322.492957211429,7.373250126496854,nan,nan,nan,nan,nan
0.78,0.4999999999999984,0.4207652422899576,0.07923475771004429,3333.54,3322.576568514661,7.287310979618684,nan,nan,nan,nan,nan
0.79,0.4999999999999979,0.4213634746663167,0.07863652533368511,3333.540000000001,3322.662032264008,7.204614645088927,nan,nan,nan,nan,nan
0.8,0.4999999999999993,0.4219684473953242,0.07803155260467698,3333.540000000002,3322.749196110166,7.124999999999997,nan,nan,nan,nan,nan
0.8100000000000001,0.4999999999999989,0.4225795941009178,0.07742040589908349,3333.539999999999,3322.837914681459,7.048315805517448,nan,nan,nan,nan,nan
0.8200000000000001,0.4999999999999996,0.4231963698292461,0.07680363017075449,3333.54,3322.928049325226,6.974419988102317,nan,nan,nan,nan,nan
0.8300000000000001,0.5000000000000034,0.4238182504233496,0.07618174957664779,3333.539999999999,3323.019467856844,6.90317898098418,nan,nan,nan,nan,nan
0.8400000000000001,0.499999999999997,0.4244447319119814,0.07555526808802128,3333.540000000001,3323.11204431625,6.834467120181425,nan,nan,nan,nan,nan
0.85,0.4999999999999984,0.4250753299123322,0.07492467008766963,3333.540000000001,3323.205658731846,6.768166089965383,nan,nan,nan,nan,nan
0.86,0.5000000000000087,0.4257095790465956,0.07429042095339528,3333.539999999999,3323.300196891436,6.704164413196326,nan,nan,nan,nan,nan
0.87,0.5000000000000003,0.4263470323720968,0.07365296762790237,3333.54,3323.395550120303,6.642356982428314,nan,nan,nan,nan,nan
0.88,0.499999999999997,0.4269872608246994,0.07301273917530389,3333.540000000001,3323.491615066061,6.582644628099179,nan,nan,nan,nan,nan
0.89,0.5,0.4276298526755654,0.0723701473244341,3333.540000000001,3323.588293490279,6.524933720489862,nan,nan,nan,nan,nan
0.9,0.4999999999999972,0.4282744130008398,0.07172558699916264,3333.539999999999,3323.685492066666,6.469135802469141,nan,nan,nan,nan,nan
0.91,0.5000000000000027,0.4289205631640924,0.07107943683590506,3333.54,3323.783122185748,6.41516725033209,nan,nan,nan,nan,nan
0.92,0.4999999999999945,0.4295679403114737,0.07043205968853131,3333.540000000002,3323.881099765801,6.362948960302449,nan,nan,nan,nan,nan
